(U)COMISS/D	COMISS COMISD UCOMISS UCOMISD
COMISS/D UCOMISS/D	COMISS COMISD UCOMISS UCOMISD
ADDPS/D SUBPS/D	ADDPS ADDPD SUBPS SUBPD
ADDSS/D PS/D SUBSS/D PS/D	ADDSS ADDSD ADDPS ADDPD SUBSS SUBSD SUBPS SUBPD
ADDSS/D SUBSS/D	ADDSS ADDSD SUBSS SUBSD
ADDSUBPS/D	ADDSUBPS ADDSUBPD
AESDEC, AESDECLAST, AESENC, AESENCLAST	AESDEC AESDECLAST AESENC AESENCLAST
AND/ANDN/OR/XORPS/PD	ANDPS ANDPD ANDNPS ANDNPD ORPS ORPD XORPS XORPD
BLENDPS/PD	BLENDPS BLENDPD
BLENDVPS/PD	BLENDVPS BLENDVPD
VBLENDPS/PD	VBLENDPS VBLENDPD
VBLENDVPS/PD	VBLENDVPS VBLENDVPD
CMOVcc	CMOVE CMOVZ CMOVNE CMOVNZ CMOVA CMOVNBE CMOVAE CMOVNB CMOVB CMOVNAE CMOVBE CMOVNA CMOVG CMOVNLE CMOVGE CMOVNL CMOVL CMOVNGE CMOVLE CMOVNG CMOVC CMOVNC CMOVO CMOVNO CMOVS CMOVNS CMOVP CMOVPE CMOVNP CMOVPO
CMPccSS/D CMPccPS/D	 CMPEQSS CMPLESS CMPLTSS CMPNEQSS CMPNLESS CMPNLTSS CMPORDSS CMPUNORDSS CMPEQSD CMPLESD CMPLTSD CMPNEQSD CMPNLESD CMPNLTSD CMPORDSD CMPUNORDSD CMPEQPS CMPLEPS CMPLTPS CMPNEQPS CMPNLEPS CMPNLTPS CMPORDPS CMPUNORDPS CMPEQPD CMPLEPD CMPLTPD CMPNEQPD CMPNLEPD CMPNLTPD CMPORDPD CMPUNORDPD
VCMPccPS/D	 VCMPEQPS VCMPLEPS VCMPLTPS VCMPNEQPS VCMPNLEPS VCMPNLTPS VCMPORDPS VCMPUNORDPS VCMPEQPD VCMPLEPD VCMPLTPD VCMPNEQPD VCMPNLEPD VCMPNLTPD VCMPORDPD VCMPUNORDPD
CVT(T) PD2PI	CVTPD2PI CVTTPD2PI
CVT(T) PS2DQ	CVTPD2DQ CVTTPD2DQ
CVT(T)PD2DQ	CVTPS2DQ CVTTPS2DQ
CVT(T)PS2PI	CVTPS2PI CVTTPS2PI
CVT(T)SD2SI	CVTSD2SI CVTTSD2SI
CVT(T)SS2SI	CVTSS2SI CVTTSS2SI
Conditional jump	JE JZ JNE JNZ JA JNBE JAE JNB JB JNAE JBE JNA JG JNLE JGE JNL JL JNGE JLE JNG JC JNC JO JNO JS JNS JPO JNP JPE JP
FADD(P) FSUB(R)(P)	FADD FADDP FSUBR FSUBP
FCMOVcc	FCMOVB FCMOVBE FCMOVE FCMOVNB FCMOVNBE FCMOVNE FCMOVNU FCMOVU
FCOM(P) FUCOM	FCOM FCOMP FUCOM
FCOMI(P) FUCOMI(P)	FCOMI FCOMIP FUCOMI FUCOMIP
FDIV(R)(P)	FDIV FDIVR FDIVP
FFREE(P)	FFREE FFREEP
FIADD FISUB(R)	FIADD FISUB FISUBR
FICOM(P)	FICOM FICOMP
FIDIV(R)	FIDIV FIDIVR
FIST(P)	FIST FISTP
FLDPI FLDL2E etc.	FLDPI FLDL2E
FMUL(P)	FMUL FMULP
FST(P)	FST FSTP
HADDPS/D HSUBPS/D	HADDPS HADDPD HSUBPS HSUBPD
J(E/R)CXZ	JCXZ JECXZ JRCXZ
LODSB/W	LODSB LODSW
LODSD/Q	LODSD LODSQ
LOOP(N)E	LOOPE LOOPNE
MAXPS/D MINPS/D	MAXPS MAXPD MINPS MINPD
MAXSS/D MINSS/D	MAXSS MAXSD MINSS MINSD
MAXSS/D PS/D MINSS/D PS/D	MAXSS MAXSD MAXPS MAXPD MINSS MINSD MINPS MINPD
MOVAPS/D	MOVAPS MOVAPD
MOVAPS/D MOVUPS/D	MOVAPS MOVAPD MOVUPS MOVUPD
MOVDQA/U	MOVDQA MOVDQU
MOVH/LPS/D	MOVHPS MOVHPD MOVLPS MOVLPD
MOVHPS/D	MOVHPS MOVHPD
MOVHPS/D MOVLPS/D	MOVHPS MOVHPD MOVLPS MOVLPD
MOVLPS/D	MOVLPS MOVLPD
MOVMSKPS/D	MOVMSKPS MOVMSKPD
MOVNTPS/D	MOVNTPS MOVNTPD
MOVSH/LDUP	MOVSHDUP MOVSLDUP
MOVSS/D	MOVSS MOVSD
MULSS/D PS/D	MULSS MULSD MULPS MULPD
PABSB/W/D	PABSB PABSW PABSD
PACKSSWB/DW PACKUSWB	PACKSSWB PACKSSDW PACKUSWB
PADD/SUB(S,US)B/W/D/Q	PADDSB PADDSW PADDUSB PADDUSW PSUBSB PSUBSW PSUBUSB PSUBUSW
PADD/SUB(U,S)B/W/D/Q	PADDSB PADDSW PADDUSB PADDUSW PSUBSB PSUBSW PSUBUSB PSUBUSW
PAND(N) POR PXOR	PAND PANDN POR PXOR
PAVGB/W	PAVGB PAVGW
PCMPEQ/GTB/W/D	PCMPEQB PCMPEQW PCMPEQD PCMPGTB PCMPGTW PCMPGTD 
PCMPEQB/W/D PCMPGTB/W/D	PCMPEQB PCMPEQW PCMPEQD PCMPGTB PCMPGTW PCMPGTD
PEXTRB/W/D/Q	PEXTRB PEXTRW PEXTRD PEXTRQ
PHADD(S)W/D PHSUB(S)W/D	PHADDW PHADDSW PHADDD PHSUBW PHSUBSW PHSUBD
PHADD/SUB(S)W/D	PHADDW PHADDSW PHADDD PHSUBW PHSUBSW PHSUBD
PINSRD/Q	PINSRD PINSRQ
PMIN/MAXSB	PMINSB PMAXSB
PMIN/MAXSW	PMINSW PMAXSW
PMIN/MAXU/SD	PMINSD PMINUD PMAXSD PMAXUD
PMIN/MAXUB	PMINUB PMAXUB
PMIN/MAXUW	PMINUW PMAXUW
PMIN/PMAX SB/SW/SD UB/UW/UD	PMINSB PMINSW PMINSD PMINUB PMINUW PMINUD PMAXSB PMAXSW PMAXSD PMAXUB PMAXUW PMAXUD
PMOVSX/ZX BW BD BQ DW DQ	PMOVSXBW PMOVZXBW PMOVSXBD PMOVZXBD PMOVSXBQ PMOVZXBQ PMOVSXWD PMOVZXWD PMOVSXDQ PMOVZXDQ
PMOVSX/ZXBD	PMOVSXBD PMOVZXBD
PMOVSX/ZXBQ	PMOVSXBQ PMOVZXBQ
PMOVSX/ZXBW	PMOVSXBW PMOVZXBW
PMOVSX/ZXDQ	PMOVSXDQ PMOVZXDQ
PMOVSX/ZXWD	PMOVSXWD PMOVZXWD
PMOVSX/ZXWQ	PMOVSXWQ PMOVZXWQ
PMULL/HW PMULHUW	PMULLW PMULHW PMULHUW
POPA(D)	POPA POPAD
POPF(D/Q)	POPF POPFD POPFQ
PREFETCHNTA/0/1/2	PREFETCHNTA PREFETCHT0 PREFETCHT1 PREFETCHT2
PREFETCHT0/1/2	PREFETCHT0 PREFETCHT1 PREFETCHT2
PSHUFL/HW	PSHUFLW PSHUFHW
PSIGNB/W/D	PSIGNB PSIGNW PSIGND
PSLL/RL/RAW/D/Q	PSLLW PSLLD PSLLQ PSRLW PSRLD PSRLQ PSRAW PSRAD PSRAQ
PSLL/RLDQ	PSLLD PSLLQ PSRLD PSRLQ
PSLLW/D/Q PSRLW/D/Q PSRAW/D/Q	PSLLW PSLLD PSLLQ PSRLW PSRLD PSRLQ PSRAW PSRAD PSRAQ
PUNPCKH/LBW/WD/DQ	PUNPCKHBW PUNPCKLBW PUNPCKHWD PUNPCKLWD PUNPCKHDQ PUNPCKLDQ
PUNPCKH/LQDQ	PUNPCKHQDQ PUNPCKLQDQ
PUSHA(D)	PUSHA PUSHAD
PUSHF(D/Q)	PUSHF PUSHFD PUSHFQ
RCPSS/PS	RCPSS RCPPS
ROUNDSS/D PS/D	ROUNDSS ROUNDSD ROUNDPS ROUNDPD
ROUNDSS/SD/PS/PD	ROUNDSS ROUNDSD ROUNDPS ROUNDPD
RSQRTSS/PS	RSQRTSS RSQRTPS
SETcc	SETE SETZ SETNE SETNZ SETA SETNBE SETAE SETNB SETNC SETB SETNAE SETC SETBE SETNA SETG SETNLE SETGE SETNL SETL SETNGE SETLE SETNG SETS SETNS SETO SETNO SETPE SETP SETPO SETNP
SHUFPS/D	SHUFPS SHUFPD
SQRTSD/PD	SQRTSD SQRTPD
SQRTSS/PS	SQRTSS SQRTPS
UNPCKH/LPS/D	UNPCKHPS UNPCKLPS UNPCKHPD UNPCKLPD
VADDPS/D VSUBPS/D	VADDPS VADDPD VSUBPS VSUBPD
VADDSUBPS/D	VADDSUBPS VADDSUBPD
VAND/ANDN/OR/XORPS/PD	VANDPS VANDPD VANDNPS VANDNPD VORPS VORPD VXORPS VXORPD
VCVT(T) PS2DQ	VCVTPD2DQ VCVTTPD2DQ
VCVT(T)PD2DQ	VCVTPS2DQ VCVTTPS2DQ
VFMADD... (all FMA instr.)	VFMADD132SS VFMADD132SD VFMADD132PS VFMADD132PD VFMADD213SS VFMADD213SD VFMADD213PS VFMADD213PD VFMADD231SS VFMADD231SD VFMADD231PS VFMADD231PD VFMADDSUB132PS VFMADDSUB132PD VFMADDSUB213PS VFMADDSUB213PD 
VHADDPS/D VHSUBPS/D	VHADDPS VHADDPD VHSUBPS VHSUBPD
VMASKMOVPS/D	VMASKMOVPS VMASKMOVPD
VMAXPS/D VMINPS/D	VMAXPS VMAXPD VMINPS VMINPD
VMOVAPS/D	VMOVAPS VMOVAPD
VMOVAPS/D VMOVUPS/D	VMOVAPS VMOVAPD VMOVUPS VMOVUPD
VMOVDQA/U	VMOVDQA VMOVDQU
VMOVMSKPS/D	VMOVMSKPS VMOVMSKPD
VMOVNTPS/D	VMOVNTPS VMOVNTPD
VMOVSH/LDUP	VMOVSHDUP VMOVSLDUP
VPBROADCASTB/W	VPBROADCASTB VPBROADCASTW
VPBROADCASTB/W/D/Q	VPBROADCASTB VPBROADCASTW VPBROADCASTD VPBROADCASTQ
VPBROADCASTD/Q	VPBROADCASTD VPBROADCASTQ
VPERMILPS/PD	VPERMILPS VPERMILPD
VPMASKMOVD/Q	VPMASKMOVD VPMASKMOVQ
VPMOVSX/ZX BW BD BQ DW DQ	VPMOVSXBW VPMOVZXBW VPMOVSXBD VPMOVZXBD VPMOVSXBQ VPMOVZXBQ VPMOVSXWD VPMOVZXWD VPMOVSXDQ VPMOVZXDQ
VPSLLVD/Q VPSRAVD VPSRLVD/Q	VPSLLVD VPSLLVQ VPSRAVD VPSRLVD VPSRLVQ
VROUNDSS/SD/PS/PD	VROUNDSS VROUNDSD VROUNDPS VROUNDPD
VSHUFPS/D	VSHUFPS VSHUFPD
VUNPCKH/LPS/D	VUNPCKHPS VUNPCKHPD VUNPCKLPS VUNPCKLPD
